length (m),F_geo,V_trn,I_trn,V_out,I_out,E_pon,E_poff,E_crit,_IR_cips,IR_cips,A_scan,R_gb,R_t2m,R_t3m,D_dcvg,D_olre,F_type,F_id,D_clas,D_len,D_erf,D_dept,SRF_loc,N_ocd,S_srb,T_opr,C_pipe,Y_pipe,S_CR,Decision
"125,493",No Feature,100,100,16.50,8.50,1277,1171,,110,106,6.24,100,24838.648,9340.876,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,494",No Feature,100,100,16.50,8.50,1279,1162,,99,117,6.24,100,24878.84,9352.18,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,495",No Feature,100,100,16.50,8.50,1284,1163,,95,121,8.10,100,24919.032,9363.484,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,496",No Feature,100,100,16.50,8.50,1256,1143,,102,113,8.10,100,24959.224,9374.788,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,497",No Feature,100,100,16.50,8.50,1300,1182,,97,118,8.10,100,24999.416,9386.092,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,498",No Feature,100,100,16.50,8.50,1297,1182,,99,115,8.10,100,25039.608,9397.396,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,499",No Feature,100,100,16.50,8.50,1279,1176,,110,103,8.10,100,25079.8,9408.7,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,500",TP125+500,100,100,16.50,8.50,1280,1178,,110,102,9.27,100,25120,9420,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,501",No Feature,100,100,16.50,8.50,1267,1178,,125,89,9.27,100,25097.784,9450.188,AA,-55,,,,,0,0,,0,No,10,C_CW,30,0.13,2
"125,502",No Feature,100,100,16.50,8.50,1295,1200,,116,95,9.27,100,25075.176,9480.332,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,503",No Feature,100,100,16.50,8.50,1286,1215,,152,71,9.27,100,25052.568,9510.476,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,504",D,100,100,16.50,8.50,1280,1213,,159,67,9.27,100,25029.96,9540.62,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,505",No Feature,100,100,16.50,8.50,1296,1207,,119,89,7.71,100,25007.352,9570.764,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,506",No Feature,100,100,16.50,8.50,1293,1206,,121,87,7.71,100,24984.744,9600.908,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,507",No Feature,100,100,16.50,8.50,1285,1206,,132,79,7.71,100,24962.136,9631.052,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,508",No Feature,100,100,16.50,8.50,1295,1201,,110,94,7.71,100,24939.528,9661.196,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,509",No Feature,100,100,16.50,8.50,1295,1199,,108,96,7.71,100,24916.92,9691.34,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,510",No Feature,100,100,16.50,8.50,1284,1175,,95,109,3.08,100,24894.312,9721.484,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
